Cpu_data,time

42.3, 21:41:18
38.9, 21:41:19
26.0, 21:41:21
3.8, 21:41:24
9.8, 21:41:27
2.5, 21:41:30
26.8, 21:41:33
26.3, 21:41:36
21.1, 21:41:39
49.1, 21:41:42
14.9, 21:41:44
19.8, 21:41:45
11.5, 21:41:47
11.6, 21:41:50
2.0, 21:41:53
4.5, 21:41:56
2.2, 21:41:59
5.9, 21:42:02
5.4, 21:42:05
20.2, 21:42:08
12.7, 21:42:11
33.5, 21:42:14
13.9, 21:42:17
84.3, 21:42:20
10.5, 21:42:23
17.4, 21:42:26
32.1, 21:42:29
62.1, 21:42:32
10.3, 21:42:35
2.4, 21:42:38
24.2, 21:42:41
6.0, 21:42:44
5.3, 21:42:47
4.3, 21:42:50
2.9, 21:42:53
4.8, 21:42:56
2.9, 21:42:59
2.4, 21:43:02
6.4, 21:43:05
4.1, 21:43:08
9.1, 21:43:11
27.8, 21:43:14
14.1, 21:43:17
50.6, 21:43:20
16.5, 21:43:23
13.5, 21:43:26
43.8, 21:43:29
9.8, 21:43:32
17.9, 21:43:35
29.3, 21:43:38
27.2, 21:43:39
13.4, 21:43:43
17.3, 21:43:46
41.7, 21:43:48
14.5, 21:43:51
16.7, 21:43:54
6.9, 21:43:57
16.9, 21:44:00
3.1, 21:44:03
7.5, 21:44:06
9.7, 21:44:09
26.2, 21:44:12
11.7, 21:44:15
48.1, 21:44:18
31.7, 21:44:19
10.1, 21:44:22
8.2, 21:44:25
7.3, 21:44:28
24.2, 21:44:31
14.1, 21:44:35
12.7, 21:44:38
16.3, 21:44:41
32.8, 21:44:43
17.9, 21:44:46
32.1, 21:44:49
20.6, 21:44:50
11.3, 21:44:53
4.2, 21:44:56
14.1, 21:44:59
7.5, 21:45:02
30.1, 21:45:06
15.0, 21:45:09
37.7, 21:45:12
11.3, 21:45:15
22.2, 21:45:18
23.7, 21:45:21
16.8, 21:45:22
20.4, 21:45:24
11.7, 21:45:28
36.6, 21:45:31
30.7, 21:45:32
14.2, 21:45:35
4.8, 21:45:38
10.4, 21:45:41
